"id","type","model","model_id","site_id","content_id","content_filter_id","lft","rght","title","detail","url","status","priority","created","modified"
"1","ページ","Page","1","0","4","","26","27","ホーム","baserCMS inc.        &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;lorem.h2loremloremloremloremloremloremloremloremloremloremlorem.h3loremloremloremloremloremloremloremloremloremloremloremloremloremloremloremlorem.h4loremloremloremloremloremloremloremloremloremloremloremloremloremloremloremlorem.h5loremloremloremloremloremloremloremloremloremloremloremloremloremloremloremlorem.h6loremloremloremloremloremloremloremloremloremloremloremloremloremloremlorem","/index","1","0.5","2016-10-06 01:39:56","2020-01-11 20:14:13"
"3","ページ","Page","3","0","6","","30","31","事業内容","事業内容        ホーム &gt; 事業内容･･･見出し.h2サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。 サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。 サービスの案内文がはいります。サービスの案内文がはいります。見出し.h3サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。 サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。 サービスの案内文がはいります。サービスの案内文がはいります。見出し.h4サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。 サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。 サービスの案内文がはいります。サービスの案内文がはいります。見出し.h5サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。 サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。 サービスの案内文がはいります。サービスの案内文がはいります。lorem.h6サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。 サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。 サービスの案内文がはいります。サービスの案内文がはいります。","/works","1","0.5","2016-10-06 01:40:04","2020-01-11 22:40:24"
"5","ページ","Page","5","0","8","","36","37","サイトマップ","サイトマップ  ホーム会社案内事業内容新着情報お問い合わせサイトマップtesttest-pagestring","/sitemap","1","0.5","2016-10-06 01:40:12","2020-01-06 15:11:09"
"6","メール","MailContent","1","0","15","","34","35","お問い合わせ","お問い合わせの内容を入力してください。","/contact/","1","0.5","2016-10-06 01:40:15","2020-01-11 21:27:43"
"7","ブログ","BlogContent","1","0","16","","32","33","新着情報","baserCMS inc. [デモ] の最新の情報をお届けします。","/news/","1","0.5","2016-10-06 01:40:18","2019-12-26 12:14:31"
"8","ブログ","BlogPost","1","0","16","1","32","33","ホームページをオープンしました","本文が入ります。本文が入ります。本文が入ります。本文が入ります。本文が入ります。本文が入ります。本文が入ります。本文が入ります。本文が入ります。本文が入ります。本文が入ります。本文が入ります。本文が入ります。本文が入ります。本文が入ります。本文が入ります。本文が入ります。本文が入ります。 詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。","/news/archives/1","1","0.5","2016-10-06 01:40:18","2019-12-26 12:14:31"
"9","ブログ","BlogPost","2","0","16","1","32","33","新商品を販売を開始しました。","新商品を販売を開始しました。新商品を販売を開始しました。新商品を販売を開始しました。新商品を販売を開始しました。新商品を販売を開始しました。新商品を販売を開始しました。新商品を販売を開始しました。新商品を販売を開始しました。 詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。詳細が入ります。&nbsp;aaaaa0akaaaaaah1;aaaaah2;aaaaah3;aaaaah4;aaaaah5;aaaaah6;aaaaa","/news/archives/2","1","0.5","2016-10-06 01:40:18","2020-01-07 14:30:20"
"10","ページ","Page","6","1","9","","3","4","トップページ","メインメニュー■ ニュースリリース■ お問い合わせNEWS RELEASE2015.11.19ホームページをオープンしました2015.11.19新商品を販売を開始しました。&nbsp;baserCMS NEWS 2016.09.29オープンソースカンファレンス 2016 島根 出展レポート！  2016.09.29baserCMS 3.0.11 のパッケージングミスについて  2016.09.28baserCMS 3.0.11.1?がリリースされました  2016.09.20baserCMS４リリース延期のお知らせ  2016.09.15「オープンソースカンファレンス2016 Nagaoka」に出展します","/m/index","1","0.5","2016-10-06 01:41:03","2016-10-06 01:41:03"
"11","ページ","Page","7","2","10","","11","12","トップページ","NEWS RELEASE2015.11.19ホームページをオープンしました2015.11.19新商品を販売を開始しました。baserCMS NEWS","/s/index","1","0.5","2016-10-06 01:41:38","2016-10-06 01:41:38"
"12","ページ","Page","8","2","11","","19","20","会社案内","会社案内会社データ会社名baserCMS inc. [デモ]設立2009年11月所在地福岡県福岡市博多区博多駅前（ダミー）事業内容インターネットサービス業（ダミー）WEBサイト制作事業（ダミー）WEBシステム開発事業（ダミー）アクセスマップGoogleマップを利用するには、Google Maps APIのキーの登録が必要です。キーを取得して、システム管理より設定してください。※ JavaScript を有効にしてください。Googleマップを利用するには、Google Maps APIのキーの登録が必要です。キーを取得して、システム管理より設定してください。var latlng = new google.maps.LatLng(33.6065756,130.4182970);var options = {zoom: 16,center: latlng,mapTypeId: google.maps.MapTypeId.ROADMAP,navigationControl: true,mapTypeControl: true,scaleControl: true,scrollwheel: false,};var map = new google.maps.Map(document.getElementById(""map""), options);var marker = new google.maps.Marker({position: latlng,map: map,title:""baserCMS inc.""});var infowindow = new google.maps.InfoWindow({content: 'baserCMS inc.福岡県'});infowindow.open(map,marker);google.maps.event.addListener(marker, 'click', function() {infowindow.open(map,marker);});","/s/about","1","0.5","2016-10-06 01:41:43","2016-10-06 01:41:43"
"13","ページ","Page","9","2","12","","15","16","サービス","サービスサービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。 サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。 サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。 サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。 サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。 サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。 サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。 サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。 サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。 サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。","/s/service","1","0.5","2016-10-06 01:41:46","2016-10-06 01:41:46"
"14","ページ","Page","10","2","13","","17","18","アイコンの使い方","アイコンの使い方50種類のアイコンを自由にカスタマイズしよう。&nbsp;&nbsp;まずは、nada-works-png.zip をダウンロードして解凍します。&nbsp;&nbsp;icons_ico_.pngをFireworksで開くと下記の50種類のアイコンがレイヤー分けされています。&nbsp;&nbsp;&nbsp;&nbsp;カスタマイズ1：ベースの形を変える。&nbsp;&nbsp;&nbsp;カスタマイズ2：色を変える。&nbsp;&nbsp;&nbsp;カスタマイズ3：パスを使って変形させる。（上級者向け）パスで作成しています。自由に変形させることが可能です。&nbsp;&nbsp;&nbsp;&nbsp;パターン例：各コンテンツで色を変える。同じアイコンを使用する、など&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;文字と写真を変えるだけで完成！かんたんバナーを作ろう。&nbsp;&nbsp;icons_banner_00.png、icons_banner_l_00.pngをFireworksで開くと各要素をレイヤー分けされています。言葉、フォント、色、画像を変更してオリジナルのバナーを作成することができます。画像は「シンボル」にて配置しています。差し替えたい画像をシンボル化し、「シンボルを入れ替え」にて差し替えてご使用ください。&nbsp;&nbsp;例：言葉、フォントの変更、画像差し替え&nbsp;","/s/icons","1","0.5","2016-10-06 01:41:50","2016-10-06 01:41:50"
"15","ページ","Page","11","2","14","","23","24","サイトマップ","サイトマップトップページ新着情報サービスアイコンの使い方会社案内お問い合わせサイトマップ","/s/sitemap","1","0.5","2016-10-06 01:41:54","2016-10-06 01:41:54"
"16","ブログ","BlogPost","3","0","22","","38","39","01","01 011","/blog/archives/1","1","0.5","2019-12-22 01:37:40","2019-12-22 05:55:56"
"17","ブログ","BlogContent","2","0","22","","38","39","ブログ","","/blog/","1","0.5","2019-12-22 05:24:43","2019-12-22 05:31:30"
"18","ブログ","BlogPost","4","0","16","","32","33","test","testt","/news/archives/3","1","0.5","2019-12-22 06:10:42","2019-12-26 12:14:31"
"19","ページ","Page","12","0","24","","28","29","会社概要","会社概要        ホーム &gt; 会社概要･･･会社について会社の情報について記載します会社名loremCompany代表者名test太郎所在地xx県xx市設立199x/0x事業概要webサイト制作資本金x,xxx万円従業員数xx人","/company","1","0.5","2019-12-24 11:30:28","2020-01-11 22:09:32"
"20","ブログ","BlogPost","5","0","16","","32","33","resrr","","/news/archives/4","1","0.5","2019-12-26 12:12:46","2019-12-26 12:14:31"
"21","ブログ","BlogPost","6","0","16","","32","33","testte","te","/news/archives/5","1","0.5","2019-12-26 12:13:09","2019-12-26 12:14:31"
"22","ブログ","BlogPost","7","0","16","3","32","33","aaaaaaa","aaaaa","/news/archives/6","1","0.5","2019-12-26 12:13:46","2020-01-11 22:51:09"
"23","ページ","Page","13","0","26","","39","40","test-page","test-page  string","/test/test-page","1","0.5","2019-12-26 14:04:43","2019-12-26 14:05:42"
"24","ブログ","BlogPost","8","0","16","","32","33","aaaaaaa_copy","aaaaa","/news/archives/7","","0.5","2020-01-11 22:50:27","2020-01-11 22:50:27"
